Date,Open,High,Low,Close,Adj Close,Volume
2023-08-29,79.750000,80.860001,79.459999,80.790001,80.196938,146100
2023-08-30,80.669998,82.629997,80.669998,82.260002,81.656143,308100
2023-08-31,82.000000,82.389999,79.410004,79.480003,78.896553,134400
2023-09-01,79.669998,81.410004,77.639999,77.769997,77.199097,133500
2023-09-05,77.510002,78.720001,74.790001,75.690002,75.134377,133000
2023-09-06,75.489998,76.059998,74.860001,75.669998,75.114517,119500
2023-09-07,75.699997,76.070000,74.639999,74.690002,74.141716,108500
2023-09-08,74.559998,74.730003,73.940002,74.489998,73.943176,104100
2023-09-11,74.550003,75.830002,74.419998,75.720001,75.164154,100800
2023-09-12,75.559998,77.040001,75.559998,76.930000,76.365273,112300
2023-09-13,77.330002,77.970001,76.519997,77.790001,77.218956,201300
2023-09-14,78.019997,78.809998,77.589996,77.699997,77.129616,164300
2023-09-15,77.889999,77.889999,77.120003,77.470001,76.901306,375400
2023-09-18,77.610001,78.019997,77.190002,77.550003,76.980721,102400
2023-09-19,77.500000,78.180000,77.190002,77.230003,76.663071,103600
2023-09-20,77.410004,78.230003,77.120003,77.129997,76.563797,92500
2023-09-21,76.680000,76.720001,75.010002,75.209999,74.657890,150700
2023-09-22,75.110001,75.849998,74.489998,74.550003,74.002747,113700
2023-09-25,74.290001,75.190002,74.220001,74.480003,73.933258,144100
2023-09-26,74.199997,74.790001,73.529999,73.650002,73.109344,136300
2023-09-27,73.790001,74.919998,73.750000,74.360001,73.814133,143700
2023-09-28,74.639999,75.800003,74.419998,74.669998,74.121857,305100
2023-09-29,74.970001,76.220001,74.099998,74.430000,73.883621,219700
2023-10-02,74.279999,75.160004,73.889999,74.660004,74.111938,320800
2023-10-03,74.430000,74.830002,73.750000,74.199997,73.655304,248200
2023-10-04,74.010002,75.250000,73.650002,74.400002,73.853844,924500
2023-10-05,74.580002,75.330002,73.699997,74.470001,73.923325,587600
2023-10-06,74.419998,74.720001,72.709999,74.199997,73.655304,425900
2023-10-09,73.900002,75.139999,73.709999,74.900002,74.350174,543700
2023-10-10,75.050003,75.870003,74.660004,74.839996,74.290604,302300
2023-10-11,74.989998,75.720001,74.300003,74.610001,74.062302,312700
2023-10-12,74.849998,75.360001,73.500000,73.750000,73.208611,399800
2023-10-13,74.000000,74.120003,72.519997,72.709999,72.176247,199700
2023-10-16,73.160004,74.260002,72.389999,72.529999,71.997566,391900
2023-10-17,72.320000,73.739998,72.150002,73.510002,72.970375,374300
2023-10-18,73.440002,73.680000,72.860001,73.019997,72.483971,264800
2023-10-19,73.160004,73.769997,72.629997,73.019997,72.483971,274700
2023-10-20,73.000000,73.089996,71.669998,71.790001,71.263000,250100
2023-10-23,71.970001,72.269997,71.309998,71.510002,70.985062,145100
